title,price_gbp,star_rating,category,in_stock,price_inr
It's Only the Himalayas,45.17,2,Travel,True,4765.435
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Travel,True,5214.865
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,Travel,True,5155.785
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,Travel,True,3897.1699999999996
Under the Tuscan Sun,37.33,3,Travel,True,3938.3149999999996
A Summer In Europe,44.34,2,Travel,True,4677.870000000001
The Great Railway Bazaar,30.54,1,Travel,True,3221.97
A Year in Provence (Provence #1),56.88,4,Travel,True,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,Travel,True,2448.655
Neither Here nor There: Travels in Europe,38.95,3,Travel,True,4109.225
"1,000 Places to See Before You Die",26.08,5,Travel,True,2751.4399999999996
Sharp Objects,47.82,4,Mystery,True,5045.01
"In a Dark, Dark Wood",19.63,1,Mystery,True,2070.9649999999997
The Past Never Ends,56.5,4,Mystery,True,5960.75
A Murder in Time,16.64,1,Mystery,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery,True,4652.55
The Last Mile (Amos Decker #2),54.21,2,Mystery,True,5719.155
That Darkness (Gardiner and Renner #1),13.92,1,Mystery,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery,True,1127.7949999999998
A Time of Torment (Charlie Parker #14),48.35,5,Mystery,True,5100.925
A Study in Scarlet (Sherlock Holmes #1),16.73,2,Mystery,True,1765.015
Poisonous (Max Revere Novels #3),26.8,3,Mystery,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery,True,5734.98
Most Wanted,35.28,3,Mystery,True,3722.04
Hide Away (Eve Duncan #20),11.84,1,Mystery,True,1249.12
Boar Island (Anna Pigeon #19),59.48,3,Mystery,True,6275.139999999999
The Widow,27.26,2,Mystery,True,2875.9300000000003
Playing with Fire,13.71,3,Mystery,True,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Mystery,True,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Mystery,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Mystery,True,2203.895
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Mystery,True,2616.4
In the Woods (Dublin Murder Squad #1),38.38,2,Mystery,True,4049.09
The Silkworm (Cormoran Strike #2),23.05,5,Mystery,True,2431.775
The Exiled,43.45,3,Mystery,True,4583.975
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,Mystery,True,2026.6550000000002
Extreme Prey (Lucas Davenport #26),25.4,3,Mystery,True,2679.7
Career of Evil (Cormoran Strike #3),24.72,2,Mystery,True,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,Mystery,True,6087.35
The Girl You Lost,12.29,5,Mystery,True,1296.5949999999998
The Girl In The Ice (DCI Erika Foster #1),15.85,3,Mystery,True,1672.175
Blood Defense (Samantha Brinkman #1),20.3,3,Mystery,True,2141.65
1st to Die (Women's Murder Club #1),53.98,1,Mystery,True,5694.889999999999
Tipping the Velvet,53.74,1,Historical Fiction,True,5669.570000000001
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction,True,3132.295
A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction,True,5858.415
The House by the Lake,36.95,1,Historical Fiction,True,3898.2250000000004
Mrs. Houdini,30.25,5,Historical Fiction,True,3191.375
The Marriage of Opposites,28.08,4,Historical Fiction,True,2962.4399999999996
Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction,True,4836.120000000001
"Love, Lies and Spies",20.55,2,Historical Fiction,True,2168.025
A Paris Apartment,39.01,4,Historical Fiction,True,4115.554999999999
Lilac Girls,17.28,2,Historical Fiction,True,1823.0400000000002
The Constant Princess (The Tudor Court #1),16.62,3,Historical Fiction,True,1753.41
The Invention of Wings,37.34,1,Historical Fiction,True,3939.3700000000003
World Without End (The Pillars of the Earth #2),32.97,4,Historical Fiction,True,3478.335
The Passion of Dolssa,28.32,5,Historical Fiction,True,2987.76
Girl With a Pearl Earring,26.77,1,Historical Fiction,True,2824.235
Voyager (Outlander #3),21.07,5,Historical Fiction,True,2222.885
The Red Tent,35.66,5,Historical Fiction,True,3762.1299999999997
The Last Painting of Sara de Vos,55.55,2,Historical Fiction,True,5860.525
The Guernsey Literary and Potato Peel Pie Society,49.53,1,Historical Fiction,True,5225.415
Girl in the Blue Coat,46.83,2,Historical Fiction,True,4940.565
Between Shades of Gray,20.79,5,Historical Fiction,True,2193.345
While You Were Mine,41.32,5,Historical Fiction,True,4359.26
The Secret Healer,34.56,3,Historical Fiction,True,3646.0800000000004
Starlark,25.83,3,Historical Fiction,True,2725.0649999999996
Lost Among the Living,27.7,4,Historical Fiction,True,2922.35
A Spy's Devotion (The Regency Spies of London #1),16.97,5,Historical Fiction,True,1790.3349999999998
